Date : 2026-03-02 15:59:09
Directory : /Users/remidesbordes/Documents/Teams/TeamsServer_/src
Total : 138 files,  -721 codes, -87 comments, -259 blanks, all -1067 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        138 |       -721 |        -87 |       -259 |     -1,067 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/WebRTCViewModel.cpp                 | C++      |        -15 |          0 |         -4 |        -19 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/ViewModels/WebRTCViewModel.h                   | C++      |        -24 |         -4 |         -9 |        -37 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/AuthView.cpp                        | C++      |        -37 |          0 |         -8 |        -45 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/AuthView.h                          | C++      |        -20 |         -8 |         -7 |        -35 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/LoginForm.cpp                       | C++      |        -17 |          0 |         -6 |        -23 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/LoginForm.h                         | C++      |        -16 |         -7 |         -6 |        -29 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/RegisterForm.cpp                    | C++      |        -21 |          0 |         -7 |        -28 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Auth/RegisterForm.h                      | C++      |        -18 |         -7 |         -6 |        -31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Loading/LoadingView.cpp                  | C++      |        -17 |          0 |         -6 |        -23 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Loading/LoadingView.h                    | C++      |        -15 |          0 |         -6 |        -21 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Local/LocalVideo.cpp               | C++      |        -52 |         -6 |        -14 |        -72 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Local/LocalVideo.h                 | C++      |        -25 |          0 |         -8 |        -33 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Remote/RemoteVideo.cpp             | C++      |        -23 |         -1 |         -7 |        -31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Remote/RemoteVideo.h               | C++      |        -18 |         -1 |         -3 |        -22 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Visio.cpp                          | C++      |        -50 |         -4 |        -14 |        -68 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Visio/Visio.h                            | C++      |        -28 |          0 |        -10 |        -38 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Workspace/WorkspaceView.cpp              | C++      |        -14 |        -25 |        -16 |        -55 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/Workspace/WorkspaceView.h                | C++      |        -27 |          0 |         -9 |        -36 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/mainwindow.cpp                           | C++      |        -54 |         -2 |        -17 |        -73 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Views/mainwindow.h                             | C++      |        -36 |         -8 |         -8 |        -52 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/includes.h                                     | C++      |        -65 |        -13 |        -23 |       -101 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/main.cpp                                       | C++      |         -6 |          0 |         -1 |         -7 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/webrtc_includes.h                              | C++      |        -25 |         -4 |         -2 |        -31 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Models/Message.h                          | C++      |          0 |         19 |          4 |         23 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Models/Session.h                          | C++      |          0 |          0 |          1 |          1 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Models/User.h                             | C++      |         27 |         11 |          5 |         43 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Registeries/WebRTCRegistry.cpp            | C++      |         17 |          0 |          5 |         22 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Registeries/WebRTCRegistry.h              | C++      |         19 |          0 |          8 |         27 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Repositories/UserRepository.cpp           | C++      |        185 |          1 |         35 |        221 |
| /Users/remidesbordes/Documents/Teams/TeamsServer_/src/Core/Repositories/UserRepository.h             | C++      |         25 |         12 |          8 |         45 |
